QU,NC,314159,1024,16,19,0,14,1008,3.5e-07
QU,NC,314159,1024,32,36,0,29,992,7.21e-07
QU,NC,314159,1024,64,77,0,57,960,1.463e-06
QU,NC,314159,1024,128,168,0,102,896,2.877e-06
QU,NC,314159,1024,256,380,0,179,768,6.215e-06
QU,NC,314159,1024,512,1751,0,203,512,2.6325e-05
QU,NC,314159,1024,1024,52664,0,31,164,8.5565e-05
QU,NC,314159,1024,2048,115924,0,3,24,0.000406782
QU,NC,314159,1024,4096,125029,0,4,2,0.00327957
QU,NC,314159,1024,8192,126052,0,1,1,0.0053759
QU,NC,314159,1024,16384,126052,0,1,1,0.00968036
QU,NC,314159,1024,32768,126052,0,1,1,0.0163715
QU,NC,314159,1024,65536,126052,0,1,1,0.0297669
QU,NC,314159,1024,131072,126052,0,1,1,0.0570095
QU,NC,314159,1024,262144,126052,0,1,1,0.111843
QU,NC,314159,1024,523776,126052,0,1,1,0.2205
UW,NC,314159,1024,16,16,0,16,1008,4.12e-07
UW,NC,314159,1024,32,32,0,32,992,7.53e-07
UW,NC,314159,1024,64,65,0,63,960,1.544e-06
UW,NC,314159,1024,128,131,0,125,896,3.068e-06
UW,NC,314159,1024,256,275,0,237,768,6.196e-06
UW,NC,314159,1024,512,704,0,349,512,1.8773e-05
UW,NC,314159,1024,1024,1763,0,248,164,3.4789e-05
UW,NC,314159,1024,2048,1939,0,355,24,6.5266e-05
UW,NC,314159,1024,4096,1963,0,375,2,0.000131822
UW,NC,314159,1024,8192,1964,0,376,1,0.000254052
UW,NC,314159,1024,16384,1964,0,376,1,0.000520312
UW,NC,314159,1024,32768,1964,0,376,1,0.00102271
UW,NC,314159,1024,65536,1964,0,376,1,0.00215402
UW,NC,314159,1024,131072,1964,0,376,1,0.0043542
UW,NC,314159,1024,262144,1964,0,376,1,0.0100991
UW,NC,314159,1024,523776,1964,0,376,1,0.0190422
UR,NC,314159,1024,16,16,0,16,1008,4.12e-07
UR,NC,314159,1024,32,32,0,32,992,8.03e-07
UR,NC,314159,1024,64,69,0,59,960,1.564e-06
UR,NC,314159,1024,128,135,0,121,896,3.187e-06
UR,NC,314159,1024,256,280,0,232,768,6.365e-06
UR,NC,314159,1024,512,727,0,330,512,1.3824e-05
UR,NC,314159,1024,1024,2075,0,180,164,3.6696e-05
UR,NC,314159,1024,2048,2251,0,287,24,7.0745e-05
UR,NC,314159,1024,4096,2275,0,307,2,0.000136621
UR,NC,314159,1024,8192,2276,0,308,1,0.000283655
UR,NC,314159,1024,16384,2276,0,308,1,0.000553531
UR,NC,314159,1024,32768,2276,0,308,1,0.00115478
UR,NC,314159,1024,65536,2276,0,308,1,0.00234698
UR,NC,314159,1024,131072,2276,0,308,1,0.00467844
UR,NC,314159,1024,262144,2276,0,308,1,0.00934008
UR,NC,314159,1024,523776,2276,0,308,1,0.0187898
QU,FC,314159,1024,16,19,5,14,1008,3.9e-07
QU,FC,314159,1024,32,36,7,29,992,7.51e-07
QU,FC,314159,1024,64,72,15,57,960,1.633e-06
QU,FC,314159,1024,128,162,60,102,896,3.156e-06
QU,FC,314159,1024,256,356,176,180,768,6.213e-06
QU,FC,314159,1024,512,936,690,246,512,1.3442e-05
QU,FC,314159,1024,1024,2715,2669,46,164,3.771e-05
QU,FC,314159,1024,2048,1970,1803,167,24,7.7305e-05
QU,FC,314159,1024,4096,1088,132,956,2,0.000135697
QU,FC,314159,1024,8192,1023,0,1023,1,0.000242899
QU,FC,314159,1024,16384,1023,0,1023,1,0.000443195
QU,FC,314159,1024,32768,1023,0,1023,1,0.000862348
QU,FC,314159,1024,65536,1023,0,1023,1,0.00172029
QU,FC,314159,1024,131072,1023,0,1023,1,0.00339003
QU,FC,314159,1024,262144,1023,0,1023,1,0.00688783
QU,FC,314159,1024,523776,1023,0,1023,1,0.0138424
UW,FC,314159,1024,16,16,0,16,1008,3.91e-07
UW,FC,314159,1024,32,32,0,32,992,8.32e-07
UW,FC,314159,1024,64,65,2,63,960,1.595e-06
UW,FC,314159,1024,128,131,6,125,896,3.089e-06
UW,FC,314159,1024,256,272,32,240,768,6.47e-06
UW,FC,314159,1024,512,649,265,384,512,1.4203e-05
UW,FC,314159,1024,1024,1234,703,531,164,3.7048e-05
UW,FC,314159,1024,2048,1040,80,960,24,6.2908e-05
